# Annotated with Bakta
# Software: v1.10.0
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	383	1807	-	GCLKFE_00001	yfcC	putative membrane transporter YfcC, affects glyoxylate shunt	COG:COG1288, COG:R, RefSeq:WP_002660994.1, SO:0001217, UniParc:UPI00016C4D0B, UniRef:UniRef100_UPI00016C4D0B, UniRef:UniRef50_A0A1L6VUG6, UniRef:UniRef90_A0A1L6VUG6
contig_1	cds	1859	2842	-	GCLKFE_00002	argF	ornithine carbamoyltransferase	COG:COG0078, COG:E, EC:2.1.3.3, GO:0004585, GO:0005737, GO:0016597, GO:0019546, GO:0019547, GO:0042450, RefSeq:WP_010255674.1, SO:0001217, UniParc:UPI00017F2DE1, UniRef:UniRef100_UPI00017F2DE1, UniRef:UniRef50_P0C2U0, UniRef:UniRef90_O51782
contig_1	cds	2910	4142	-	GCLKFE_00003	arcA	arginine deiminase	COG:COG2235, COG:E, EC:3.5.3.6, GO:0005737, GO:0016990, GO:0019546, GO:0019547, RefSeq:WP_096890767.1, SO:0001217, UniParc:UPI000BC30643, UniRef:UniRef100_UPI000BC30643, UniRef:UniRef50_O51781, UniRef:UniRef90_O51781
contig_1	cds	4321	5937	+	GCLKFE_00004		Lipoprotein	RefSeq:WP_096890766.1, SO:0001217, UniParc:UPI000BC3499C, UniRef:UniRef100_UPI000BC3499C, UniRef:UniRef50_A0A5J6WC56, UniRef:UniRef90_A0A1L6VU60
contig_1	cds	5946	6545	+	GCLKFE_00005		Ribonuclease H1 N-terminal domain-containing protein	RefSeq:WP_002656992.1, SO:0001217, UniParc:UPI00016B3615, UniRef:UniRef100_A0A7U8I7Q7, UniRef:UniRef50_O51779, UniRef:UniRef90_O51779
contig_1	cds	6514	7059	+	GCLKFE_00006		Lipoprotein	RefSeq:WP_002662560.1, SO:0001217, UniParc:UPI0001956A46, UniRef:UniRef100_UPI0001956A46, UniRef:UniRef50_D6RWI6, UniRef:UniRef90_A0A7W9ZK21
contig_1	cds	7069	10509	-	GCLKFE_00007	lptD	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	COG:COG1452, COG:M, RefSeq:WP_096890765.1, SO:0001217, UniParc:UPI000BC34D4A, UniRef:UniRef100_UPI000BC34D4A, UniRef:UniRef50_I0FDT1, UniRef:UniRef90_G0AMS4
contig_1	cds	10464	13316	-	GCLKFE_00008	uvrA	excinuclease ABC subunit UvrA	COG:COG0178, COG:L, GO:0003677, GO:0005524, GO:0005737, GO:0006289, GO:0008270, GO:0009380, GO:0009381, GO:0009432, GO:0016887, RefSeq:WP_002662068.1, SO:0001217, UniParc:UPI00016C4F50, UniRef:UniRef100_UPI00016C4F50, UniRef:UniRef50_Q890X9, UniRef:UniRef90_O51777
contig_1	cds	13320	15326	-	GCLKFE_00009	uvrB	excinuclease ABC subunit UvrB	COG:COG0556, COG:L, GO:0003677, GO:0005524, GO:0005737, GO:0006289, GO:0009380, GO:0009381, GO:0009432, GO:0016887, RefSeq:WP_002662312.1, SO:0001217, UniParc:UPI00017F35F2, UniRef:UniRef100_UPI00017F35F2, UniRef:UniRef50_B5YJW4, UniRef:UniRef90_Q0SM15
contig_1	cds	15459	17171	+	GCLKFE_00010	manB	Phosphomannomutase	COG:COG1109, COG:G, RefSeq:WP_002662315.1, SO:0001217, UniParc:UPI00017F35F3, UniRef:UniRef100_UPI00017F35F3, UniRef:UniRef50_A0A142JAC4, UniRef:UniRef90_A0A7I6GX37
